exit_status max_rss_kb  sys_cpu_s   user_cpu_s
0	37876	85.29	39.39
0	37868	83.63	38.02
0	36716	69.62	33.02
0	36372	72.02	33.60
0	36320	69.10	31.63
0	35248	3.12	5.30
0	35224	3.20	5.35
0	35396	0.74	4.43
0	35044	0.82	4.30
0	190208	0.89	4.98
0	35272	0.76	4.52
0	35060	0.82	4.40
0	35032	0.77	4.43
0	35400	0.81	4.56
0	35440	0.75	4.51
0	217932	0.96	5.50
0	212248	0.97	5.46
0	196604	1.01	5.39
0	199344	0.95	5.54
0	178688	1.01	5.32
0	27932	85.38	37.35
0	28056	85.69	36.91
0	28204	85.76	36.98
0	27904	85.66	36.55
0	27856	78.54	43.46
0	27964	85.69	37.42
0	27960	84.87	36.55
0	28012	85.64	36.76
0	28480	88.23	36.94
0	28404	85.62	37.34
0	28572	88.42	37.47
0	28512	89.19	38.01
0	28440	87.37	37.07
0	28960	85.24	36.52
0	28476	84.67	37.94
0	28912	86.38	38.42
0	28704	85.07	38.12
0	28500	84.64	37.78
0	28824	84.02	38.13
0	28544	83.77	38.06
0	28748	86.06	37.88
0	28636	82.01	36.83
0	29960	83.73	37.21
0	30040	82.87	37.88
0	30680	83.68	37.26
0	30348	83.98	37.88
0	30560	83.92	37.48
0	30656	83.83	38.16
0	30316	85.01	38.70
0	30716	85.43	37.72
0	30832	85.97	38.24
0	30672	84.85	37.51
0	30800	84.21	37.06
0	30856	83.52	37.19
0	31516	85.97	38.53
0	31608	84.81	37.50
0	31756	68.83	31.56
0	31868	68.96	31.44
0	172624	70.12	33.39
0	235196	69.73	32.17
0	237612	67.84	31.90
0	238852	69.45	33.32
0	239104	68.44	32.30
0	176068	67.24	32.64
0	242108	66.99	31.70
0	236140	66.97	31.20
0	32204	65.34	29.50
0	180672	66.69	31.72
0	32152	67.40	31.09
0	250016	66.43	31.75
0	32980	25.38	12.69
0	32536	24.92	12.39
0	32880	24.67	12.09
0	33464	17.92	9.69
0	32896	18.35	9.45
0	219996	17.14	10.18
0	250740	17.03	9.86
0	237568	16.40	9.85
0	239156	13.30	8.81
0	33300	13.12	7.88
0	33428	13.16	7.70
0	32992	10.00	6.00
0	33184	9.81	6.39
0	258516	10.58	7.77
0	205800	9.87	6.78
0	33036	10.16	6.74
0	260252	10.04	7.18
0	33072	10.19	5.99
0	33240	10.07	6.07
0	33132	9.80	5.93
0	33232	9.89	6.14
0	33184	9.51	5.86
0	33044	9.65	6.16
0	240364	1.35	3.45
0	33328	1.30	2.41
0	32888	0.64	2.09
0	32916	0.70	2.07
0	199840	0.82	3.00
0	33044	0.71	2.02
0	33312	0.69	2.18
0	33240	0.73	2.20
0	33144	0.71	2.09
0	238232	0.84	2.91
0	220640	0.92	2.86
0	281540	0.74	5.89
0	27276	0.57	4.46
0	309528	0.82	8.18
0	309604	1.07	10.87
0	239500	0.89	6.26
0	27304	0.74	5.39
